# StoryAura/Danbooru-Dataset-csv parent_tag edges (child,parent). MIT.
!!,!
10000_yen_note,high_denomination_banknote
10000_yen_note,yen
1960s_(style),retro_artstyle
1970s_(style),retro_artstyle
1980s_(style),retro_artstyle
1990s_(style),retro_artstyle
1koma,comic
2boys,multiple_boys
2girls,multiple_girls
2koma,comic
2others,multiple_others
360_panorama,panorama
3;,3:
3;,one_eye_closed
3boys,multiple_boys
3girls,multiple_girls
3koma,comic
3others,multiple_others
40mm_grenade,ammunition
4boys,multiple_boys
4girls,multiple_girls
4koma,comic
4others,multiple_others
4th_match_flame_(e.g.o),e.g.o_(project_moon)
4x4_rubik's_cube,rubik's_cube
5-string_bass_guitar,bass_guitar
5-string_bass_guitar,extended_range_bass_guitar
5boys,multiple_boys
5girls,multiple_girls
5koma,comic
5others,multiple_others
6+boys,multiple_boys
6+girls,multiple_girls
6+others,multiple_others
6-string_bass_guitar,extended_range_bass_guitar
6koma,comic
7-string_guitar,extended_range_guitar
8-string_guitar,extended_range_guitar
8_of_my_10_favorite_characters,multiple_drawing_challenge
9:2_(e.g.o),e.g.o_(project_moon)
:d,smile
:p,tongue_out
:q,tongue_out
:|,closed_mouth
;(,frown
;(,one_eye_closed
;),one_eye_closed
;),smile
;/,:/
;3,:3
;3,one_eye_closed
;<,:<
;<,one_eye_closed
;>,:>
;>,one_eye_closed
;d,:d
;d,one_eye_closed
;d,smile
;i,:i
;i,one_eye_closed
;o,:o
;o,one_eye_closed
;p,:p
;p,one_eye_closed
;p,tongue_out
;q,:q
;q,one_eye_closed
;q,tongue_out
;t,:t
;t,one_eye_closed
;|,:|
;|,one_eye_closed
>:(,v-shaped_eyebrows
>:),v-shaped_eyebrows
>_o,one_eye_closed
??,?
\o/,arms_up
\o/,outstretched_arms
^_^,closed_eyes
^q^,^_^
aa-12,shotgun
ableism,discrimination
above-cleavage_cutout,clothing_cutout
above_clouds,cloud
absolutely_everyone,everyone
absurdly_long_hair,very_long_hair
absurdly_long_tail,very_long_tail
aburaage,food
accessory_tan,tanlines
accidental_voyeurism,voyeurism
accordion,instrument
accurate_ballet,ballet
accurate_lolita_coord,lolita_fashion
ace_(playing_card),playing_card
ace_of_clubs,ace_(playing_card)
ace_of_clubs,club_(shape)
ace_of_diamonds,ace_(playing_card)
ace_of_diamonds,diamond_(shape)
ace_of_hearts,ace_(playing_card)
ace_of_hearts,heart
ace_of_spades,ace_(playing_card)
ace_of_spades,spade_(shape)
acoustic_guitar,guitar
action_camera,video_camera
adaptive_combat_rifle,assault_rifle
adjustable_wrench,wrench
adjusting_bow,bow
adjusting_bra,adjusting_clothes
adjusting_bra,bra
adjusting_buruma,adjusting_clothes
adjusting_buruma,buruma
adjusting_earrings,earrings
adjusting_gloves,adjusting_clothes
adjusting_gloves,gloves
adjusting_headwear,adjusting_clothes
adjusting_legwear,adjusting_clothes
adjusting_leotard,adjusting_clothes
adjusting_leotard,leotard
adjusting_neckerchief,neckerchief
adjusting_necktie,adjusting_clothes
adjusting_necktie,necktie
adjusting_panties,adjusting_clothes
adjusting_panties,panties
adjusting_scarf,scarf
adjusting_shirt,shirt
adjusting_shoe,adjusting_clothes
adjusting_shorts,adjusting_clothes
adjusting_shorts,shorts
adjusting_sock,adjusting_clothes
adjusting_swimsuit,adjusting_clothes
adjusting_swimsuit,swimsuit
admiral_kuznetsov_(aircraft_carrier),kuznetsov-class_aircraft_carrier
adoptive_parent_and_adoptive_child,parent_and_child
adoptive_siblings,siblings
adoration_(e.g.o),e.g.o_(project_moon)
adrian_helmet,combat_helmet
adult_baby,ageplay
aedd_(e.g.o),e.g.o_(project_moon)
aek-971,assault_rifle
aek-999_barsuk,machine_gun
aerial_battle,battle
aerial_fireworks,fireworks
aerokinesis,wind
african_grey_parrot,parrot
against_fence,fence
against_railing,railing
against_tree,tree
age_regression,aged_down
age_switch,aged_down
age_switch,aged_up
agejo_gyaru,gyaru
aguav_berry,berry_(pokemon)
ah-1_cobra,attack_helicopter
ah-1z_viper,attack_helicopter
ah-64_apache,attack_helicopter
ahoge_wag,ahoge
ahoge_wag,expressive_hair
ai-generated_encore_(meme),ai-generated_art_(topic)
ai-generated_touhou,ai-generated_art_(topic)
ai_angry_dr._mario_(meme),ai-generated_art_(topic)
ai_arctic_warfare,bolt_action
ai_arctic_warfare,sniper_rifle
ai_drawing_anime_characters_eating_ramen_(meme),ai-generated_art_(topic)
ai_drawing_cat_in_front_of_eye_(meme),ai-generated_art_(topic)
ai_drawing_person_in_cake_(meme),ai-generated_art_(topic)
aiming_at_viewer,aiming
air_bubble,bubble
aircraft_carrier,warship
airplane,aircraft
airplane_arms,spread_arms
airpods,wireless_earphones
airship,aircraft
ajirogasa,hat
ak-102,assault_rifle
ak-102,kalashnikov_rifle
ak-107,assault_rifle
ak-107,kalashnikov_rifle
ak-12,assault_rifle
ak-12,kalashnikov_rifle
ak-15,assault_rifle
ak-15,kalashnikov_rifle
ak-47,assault_rifle
ak-47,kalashnikov_rifle
ak-74,assault_rifle
ak-74,kalashnikov_rifle
ak-74m,assault_rifle
ak-74m,kalashnikov_rifle
ak_5,fn_fnc
akanbe,eyelid_pull
akanbe,tongue_out
akeome,happy_new_year
akg_k-series_headphones,headphones
akm,assault_rifle
akm,kalashnikov_rifle
akms,akm
aks-74,ak-74
aks-74u,assault_rifle
aks-74u,kalashnikov_rifle
alarm_clock,clock
album_cover,cover
alcohol_carton,drink_carton
alcohol_enema,enema
all-terrain_vehicle,motor_vehicle
