tag,cn_name
!,"感叹号,びっくり,驚きマーク,感叹,エクスクラメーション"
!!,"双感叹号,強調,強い驚き"
!_block,"ビックリブロック,きいろいブロック,黄色いブロック,オレンジブロック,「!」ブロック"
"""pour_la_justice""_(genshin_impact)","普茹斯蒂司,プル・ラ・ジャスティス"
"""shimei""_no_chouten_greatest_great",「使命」の頂天グレイテスト・グレート
"""suki""_wo_gengoka_suru_gijutsu","「好き」を言語化する技術,好きを言語化する技術"
#unicus_(idolmaster),"ユニット名募集中,ユニ募"
&joyful!_(idolmaster),&ジョイフル!
+_+,"目がしいたけ,しいたけ目,星星眼,两眼放光"
+_-,"正负号眼,プラスマイナス,+-目,加减号"
...,省略号
...!,"省略后感叹,余韻の感嘆,拖长感叹"
...?,"省略后疑问,余韻の疑問,拖长疑问"
.52_gal_(splatoon),".52ガロン,.52ガロンデコ"
.96_gal_(splatoon),".96ガロン,.96ガロンデコ"
._.,点目
000_(path_to_nowhere),无期迷途000
001_(darling_in_the_franxx),"001(ダリフラ),叫竜きょりゅうの姫ひめ"
00_gundam,"ダブルオーガンダム,00ガンダム,ダブルオーガンダムセブンソードセブンソード/G,ダブルオーライザー(粒子貯蔵タンク型),ダブルオーライザー"
00_qan[t],"ダブルオークアンタ,ELSクアンタ,ダブルオークアンタフルセイバー"
00_qan[t]_full_saber,00クアンタフルセイバー
00_raiser,"ダブルオーライザー,00ライザー"
03-aaliyah,アリーヤ
063y_(nier),白衣の男
0_0,"圆眼,丸目,点点眼,ゼロ目,0目"
0_gundam,"0ガンダム,フルアーマー0ガンダム"
0_raiser,"オーライザー,0ライザー"
0th_generation_(hololive),ホロライブ0期生
1-up_mushroom,"1UPキノコ,1UPきのこ"
1.0-tan,お壱さん
100-series,"量産型百式観測器,量産型"
1000-chan,1000ちゃん
1000-nen-chan,1000年生きてる
10000000-volt_thunderbolt_(pokemon),"1000まんボルト,いっせんまんボルト"
10000_yen_note,"一万円札,10000円札"
108-nin_no_halloween_rebellion!,108人のハロウィン・リベリオン!
10_times_quiz,"10回クイズ,十回クイズ,10回ゲーム"
10cm_twin_high-angle_gun_mount,10cm連装高角砲
115_series,"国鉄115系電車,115系"
12.7cm_twin_gun_mount,12.7cm連装砲
12.7cm_twin_gun_mount_model_b_kai_2,12.7cm連装砲B型改二
12.7cm_twin_high-angle_gun_mount_fairy,12.7cm連装高角砲
12_billion_yen_incident,120億円事件
12cm_30-tube_rocket_launcher,12cm30連装噴進砲
12f_(arknights),12F(アークナイツ)
13-amp,サーティーンアンプ
14cm_single_gun_mount,14cm単装砲
15-nin_no_richiteki_na_megane-tachi,15人の理知的なメガネたち
15.5cm_triple_gun_mount,15.5cm三連装砲
18-gou_(vtuber),"18号,じゅーはぁと"
18-volt,エイティーンボルト
18_kin_(himegoto),歩く18禁
1915,"1915年,大正4年"
1918,"1918年,大正7年"
1924,"1924年,大正13年"
1925,"1925年,大正14年"
1928,"1928年,昭和3年"
1930s_(style),"1930年代风格,1930年代風,三十年代风,1930sスタイル"
1934,"1934年,昭和9年"
1935,"1935年,昭和10年"
1938,"1938年,昭和13年"
1939,"1939年,昭和14年"
1940,"1940年,昭和15年"
1941,"1941年,昭和16年"
1942,"1942年,昭和17年"
1943,"1943年,昭和18年"
1944,"1944年,昭和19年"
1945,"1945年,昭和20年"
1946,"1946年,昭和21年"
1947,"1947年,昭和22年"
1955,"1955年,昭和30年"
1958,"1958年,昭和33年"
1960,"1960年,昭和35年"
1960s_(style),"1960年代风格,1960年代風,六十年代风,1960sスタイル"
1960s_fashion,"1960年代时尚,1960年代ファッション,六十年代服饰"
1964,"1964年,昭和39年"
1965,"1965年,昭和40年"
1967,"1967年,昭和42年"
1968,"1968年,昭和43年"
1970,"1970年,昭和45年"
1970s_(style),"1970年代风格,1970年代風,七十年代风,1970sスタイル"
1974,"1974年,昭和49年"
1975,"1975年,昭和50年"
1976,1976年
1977,"1977年,昭和52年"
1978,1978年
1979,"1979年,昭和54年"
1980,"1980年,昭和55年"
1980_iranian_embassy_siege,駐英イラン大使館占拠事件
1980s_(style),"1980年代,80年代,80年代風"
1981,1981年
1982,"1982年,昭和57年"
1983,"1983年,昭和58年"
1984_(year),"1984年,昭和59年"
1985,"1985年,昭和60年"
1986,"1986年,昭和61年"
1987,"1987年,昭和62年"
1988,"1988年,昭和63年"
1989,"1989年,平成元年,昭和64年,平成1年"
1990,"1990年,平成2年"
1990s_(style),"90年代風,90年代"
1991,"1991年,平成3年"
1992,"1992年,平成4年"
1994,"1994年,平成6年"
1995,"1995年,平成7年"
1996,"1996年,平成8年"
1997,"1997年,平成9年"
1998,"1998年,平成10年"
1999,"1999年,平成11年"
1boy,"男の子,男,少年,男の娘,長髪男子,男子,創作男女,男人"
1girl,"女の子,女性,少女,おんなのこ,女子,女孩,姑娘,女"
1koma,"1コマ,1コマ漫画,一コマ,一コマ漫画,1格漫画,一格漫画"
1nm8_(paradox_live),インメイト
1other,"性別不詳,中性,性别不明"
1st_cavalry_division,第1騎兵師団
1st_form_frieza,フリーザ第一形態
1st_generation_(hololive),"ホロライブ1期生,ホロライブ一期生"
1st_generation_(nijisanji),にじさんじ一期生
1st_infantry_division_(us_army),"第1歩兵師団_(アメリカ軍),第1歩兵師団"
1st_live_tour_~run!_can!_fun!~,"蓮ノ空1st福岡Day1,蓮ノ空1st福岡Day2,蓮ノ空1st愛知Day2,蓮ノ空1st愛知Day1,蓮ノ空1st東京Day2,蓮ノ空1st東京Day1"
1up,"1アップ,多一命,残機アップ"
20.3cm_twin_gun_mount,20.3cm連装砲
2000,"2000年,平成12年"
20000-hit_girl_(touhou),"トプ子,トップ子,两万点击Hit绘,Top繪少女,トップ絵の少女"
2000s_(style),"2000年代,古早味,古早,古早漫,千禧年,萌え絵,旧漫画风,旧漫"
2001,"2001年,平成13年"
2002,"2002年,平成14年"
2003,"2003年,平成15年"
2003_server,鯖たん
2004,"2004年,平成16年"
2005,"2005年,平成17年"
2006,"2006年,平成18年"
2007,"2007年,平成19年"
2008,"2008年,平成20年"
2009,"2009年,平成21年"
2010,"2010年,平成22年"
2011,"2011年,平成23年"
2011_tohoku_earthquake_and_tsunami,"東北地方太平洋沖地震,東日本大震災"
2012,"2012年,平成24年"
2013,"2013年,平成25年"
2014,"2014年,平成26年"
2015,"2015年,平成27年"
2016,"2016年,平成28年"
2016_umamusume_promotional_video,謎スケート
2017,"2017年,平成29年"
2017_central_mexico_earthquake,"メキシコ中部地震,メキシコちゅうぶじしん"
2018,"2018年,平成30年"
2019,"2019年,平成31年,令和1年,令和元年"
2019-2020_hong_kong_protests,"2019年-2020年香港民主化デモ,反对《逃犯条例修订草案》运动"
2020,"2020年,令和2年"
2021,"2021年,令和3年"
2022,"2022年,令和4年"
2023,"2023年,令和5年"
2023_china_balloon_incident,2023年中国気球事件
2024,"2024年,令和6年"
2024_attempted_assassination_of_donald_trump,"ドナルド・トランプ暗殺未遂事件,特朗普遭暗杀未遂事件"
2024_niconico_cyberattack,"がんばれニコニコ運営,負けるなニコニコ運営,ニコニコ復活おめでとう,ニコニコ動画復活,ニコニコ復活,帰ってきたニコニコ"
2025,"2025年,クリスマス2025"
2026,2026年
